ON_STATION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1250314465408805,0.06946191474493361,0.049615653389238304,0.041677148846960166,0.041677148846960166,0.05160027952480783,0.059538784067085966,0.049615653389238304,0.033738644304682035,0.05160027952480783,0.025800139762403914,0.027784765897973445,0.0436617749825297,0.05556953179594689,0.06152341020265549,0.033738644304682035,0.07343116701607268,0.06350803633822502,0.039692522711390635,0.05358490566037736
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07039623422304987,0.05677115663149183,0.06131284916201117,0.06812538795779019,0.034062693978895095,0.06585454169253052,0.04314607903993379,0.04768777157045314,0.03179184771363543,0.06358369542727085,0.06131284916201117,0.03179184771363543,0.011354231326298366,0.034062693978895095,0.0249793089178564,0.045416925305193465,0.022708462652596732,0.009083385061038693,0.029521001448375755
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05366132723112128,0.08148571912873973,0.0635986100516993,0.06558606661581491,0.06956097974404611,0.055648783795236884,0.04571150097465886,0.04372404441054326,0.04571150097465886,0.04372404441054326,0.035774218154080856,0.029811848461734045,0.05763624035935249,0.027824391897618442,0.051673870667005684,0.033786761589965256,0.039749131282312056,0.02384947876938724
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11010061583832075,0.03739266198282591,0.07063058374533784,0.11633272616879174,0.06855321363518084,0.05816636308439587,0.039470032092982915,0.039470032092982915,0.056088992974238874,0.039470032092982915,0.051934252753924895,0.031160551652354936,0.02285107121172695,0.06024373319455287,0.029083181542197935,0.012464220660941971,0.0436247723132969
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07387113140537799,0.041552511415525115,0.06463723997970575,0.02308472856418062,0.039244038559107054,0.04386098427194318,0.020776255707762557,0.036935565702688994,0.034627092846270933,0.013850837138508371,0.020776255707762557,0.013850837138508371,0.027701674277016742,0.02308472856418062,0.013850837138508371,0.013850837138508371
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09713984447080531,0.11700935811256095,0.07506260709107686,0.08610122578094108,0.07727033082904969,0.033115856069592726,0.019869513641755633,0.022077237379728484,0.01766178990378279,0.019869513641755633,0.004415447475945697,0.019869513641755633,0.004415447475945697,0.008830894951891394,0.01766178990378279
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09663299663299664,0.0773063973063973,0.0459006734006734,0.0918013468013468,0.053148148148148146,0.03140572390572391,0.026574074074074073,0.019326599326599324,0.01691077441077441,0.014494949494949495,0.01207912457912458,0.01691077441077441,0.004831649831649831,0.02415824915824916
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15653956539565395,0.07940412737460707,0.07940412737460707,0.04764247642476425,0.05671723383900505,0.03403034030340303,0.04537378707120405,0.02722427224272243,0.011343446767801012,0.03176165094984283,0.02722427224272243,0.011343446767801012,0.006806068060680607
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1294903926482874,0.09064327485380115,0.1251740462266778,0.11006683375104427,0.10359231411862992,0.07337788916736285,0.05611250348092453,0.01294903926482874,0.04963798384851016,0.05179615705931496,0.030214424951267062,0.028056251740462265
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14160025003906862,0.09162369120175028,0.11869432723863102,0.10828254414752304,0.09370604781997187,0.09787076105641505,0.04789420221909673,0.11036490076574465,0.05830598531020472,0.05830598531020472,0.06038834192842633
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14973237356958288,0.11579303556047743,0.18566814322628272,0.17967884828349945,0.16770025839793282,0.07586440260858865,0.14973237356958288,0.07187153931339978,0.04791435954226652,0.057896517780238715
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12168084557875741,0.16021311334536392,0.15210105697344678,0.139932972415571,0.05272836641746155,0.11356878920684026,0.060840422789378706,0.04664432413852368,0.026364183208730775
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13878485226799833,0.13073935358579553,0.21320571507837427,0.08850048550423083,0.21320571507837427,0.10660285753918713,0.09051186017478154,0.09252323484533223
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10327635327635326,0.15491452991452992,0.07229344729344729,0.14458689458689458,0.10327635327635326,0.06196581196581196,0.05783475783475784
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09561815336463225,0.06306729264475744,0.16275430359937404,0.11596244131455398,0.05289514866979656,0.08748043818466354
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058840579710144926,0.12608695652173912,0.13869565217391305,0.07565217391304349,0.08405797101449276
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07718652387327087,0.1001338688085676,0.11265060240963856,0.05632530120481928
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17540438397581254,0.16684807256235828,0.18182161753590323
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831511839708561,0.07055251973284761
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06111111111111111
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
